2022-06-20 00:11:11.062 [restartedMain] INFO  org.springframework.nativex.NativeListener - AOT mode disabled
2022-06-20 00:11:11.088 [restartedMain] INFO  com.example.documentseach.App - Starting App using Java 11.0.14.1 on wangpengkaideMacBook-Pro.local with PID 15653 (/Users/wangpengkai/Downloads/documentSeach/target/classes started by wangpengkai in /Users/wangpengkai/Downloads/documentSeach)
2022-06-20 00:11:11.088 [restartedMain] INFO  com.example.documentseach.App - No active profile set, falling back to 1 default profile: "default"
2022-06-20 00:11:11.104 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-20 00:11:11.104 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-20 00:11:11.421 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-20 00:11:11.425 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-20 00:11:11.425 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-20 00:11:11.425 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-20 00:11:11.447 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-20 00:11:11.447 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 343 ms
2022-06-20 00:11:11.725 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-06-20 00:11:11.732 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-20 00:11:11.741 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
